brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
16913.0,for_sale,2600000.0,,,,254964.0,Brooklyn,New York,11217.0,,2017-06-16
16913.0,for_sale,2150000.0,,,,519985.0,Brooklyn,New York,11225.0,,2021-07-22
16913.0,for_sale,1950000.0,,,,898236.0,Brooklyn,New York,11226.0,,2018-09-18
41920.0,for_sale,2195000.0,,,0.08,822934.0,Brooklyn,New York,11205.0,3060.0,2017-07-12
7766.0,for_sale,2699000.0,,,,389990.0,Brooklyn,New York,11231.0,,2019-01-24
16913.0,for_sale,1995000.0,,,,1250943.0,Brooklyn,New York,11226.0,,2018-08-17
1405.0,for_sale,1625000.0,,,,1348179.0,Brooklyn,New York,11218.0,2700.0,2018-10-04
102654.0,for_sale,999000.0,,,,1412481.0,Brooklyn,New York,11221.0,,2017-05-18
102654.0,for_sale,2380000.0,,,,1063955.0,Brooklyn,New York,11238.0,2390.0,2017-02-07
16913.0,for_sale,1395000.0,,,,1033944.0,Brooklyn,New York,11221.0,,2018-09-27
16913.0,for_sale,1695000.0,,,,840637.0,Brooklyn,New York,11215.0,,2019-09-11
102654.0,for_sale,4750000.0,,,,289463.0,Brooklyn,New York,11231.0,3993.0,2021-09-28
102654.0,for_sale,3250000.0,,,,11637.0,Brooklyn,New York,11216.0,3900.0,2017-03-29
16829.0,for_sale,5750000.0,3.0,3.0,,1670429.0,Manhattan,New York,10007.0,2378.0,2016-09-16
65622.0,for_sale,760000.0,3.0,2.0,,1372733.0,Brooklyn,New York,11220.0,924.0,2018-08-20
16829.0,for_sale,950000.0,4.0,3.0,,419173.0,Brooklyn,New York,11226.0,1916.0,2017-01-03
20088.0,for_sale,999999.0,6.0,4.0,0.07,1631435.0,Bronx,New York,10467.0,3498.0,2017-01-09
16829.0,for_sale,1975000.0,2.0,2.0,,758844.0,Manhattan,New York,10024.0,,2014-01-06
28938.0,for_sale,689000.0,1.0,1.0,,981531.0,Brooklyn,New York,11237.0,735.0,2015-05-21
65895.0,for_sale,990000.0,,,0.06,930609.0,Bronx,New York,10469.0,2034.0,2021-10-18
28962.0,for_sale,949000.0,1.0,1.0,,356026.0,Brooklyn,New York,11206.0,600.0,2017-11-30
50990.0,for_sale,220000.0,1.0,1.0,,937277.0,Bronx,New York,10463.0,750.0,2017-01-11
16829.0,for_sale,762000.0,2.0,1.0,,612506.0,Brooklyn,New York,11205.0,,2018-08-06
81265.0,for_sale,849000.0,5.0,3.0,0.04,1750485.0,Bronx,New York,10459.0,2280.0,2022-01-26
29797.0,for_sale,2190000.0,6.0,7.0,0.05,1686723.0,Bronx,New York,10459.0,4493.0,2019-05-30
52865.0,for_sale,500000.0,1.0,1.0,,1470423.0,Brooklyn,New York,11222.0,,2014-12-01
71688.0,for_sale,220000.0,1.0,1.0,,1576667.0,Queens,New York,11372.0,500.0,2016-08-15
24209.0,for_sale,589000.0,3.0,2.0,0.05,988918.0,Bronx,New York,10469.0,1530.0,2017-05-08
21020.0,for_sale,675000.0,3.0,2.0,,756804.0,Bronx,New York,10462.0,,2018-06-22
30181.0,for_sale,329000.0,2.0,1.0,,998808.0,Bronx,New York,10463.0,825.0,2015-11-25
105262.0,for_sale,850000.0,7.0,3.0,0.06,765733.0,Bronx,New York,10461.0,,2016-12-19
20199.0,for_sale,1200000.0,7.0,5.0,0.04,1039548.0,Bronx,New York,10463.0,2623.0,2020-10-16
52865.0,for_sale,815000.0,2.0,1.0,,20491.0,Brooklyn,New York,11218.0,,2015-09-01
44674.0,for_sale,1299999.0,9.0,4.0,0.03,1649176.0,Brooklyn,New York,11208.0,3000.0,2016-09-29
16398.0,for_sale,3999900.0,9.0,6.0,,963878.0,Bronx,New York,10463.0,5045.0,2017-07-05
35657.0,for_sale,950000.0,6.0,2.0,0.07,478749.0,Brooklyn,New York,11207.0,,2018-01-10
